[2020-07-14 10:35:45,201] [views.py:19] [views:post] [INFO]- {'device_name': '服务器7', 'hostname': 'test-09', 'sn': 'fuwuqisn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi7', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:35:45,203] [views.py:19] [views:post] [INFO]- {'device_name': '服务器5', 'hostname': 'test-10', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:35:55,209] [views.py:19] [views:post] [INFO]- {'device_name': '服务器1', 'hostname': 'test-11', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:35:55,211] [views.py:19] [views:post] [INFO]- {'device_name': '服务器test-01', 'hostname': 'test-12', 'sn': 'sn', 'status': 'REBOOTING', 'usage': 'amin', 'location': '机房1', 'console_ip': 'http://url', 'console_user': 'amin', 'console_password': 'amin', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:36:05,216] [views.py:19] [views:post] [INFO]- {'device_name': '服务器7', 'hostname': 'test-14', 'sn': 'fuwuqisn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi7', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:36:05,217] [views.py:19] [views:post] [INFO]- {'device_name': '服务器9', 'hostname': 'test-13', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:36:15,225] [views.py:19] [views:post] [INFO]- {'device_name': '服务器7', 'hostname': 'test-02', 'sn': 'fuwuqisn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi7', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:36:15,226] [views.py:19] [views:post] [INFO]- {'device_name': '服务器9', 'hostname': 'test-01', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:36:25,230] [views.py:19] [views:post] [INFO]- {'device_name': '服务器1', 'hostname': 'test-07', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:37:02,875] [views.py:19] [views:post] [INFO]- {'device_name': '服务器7', 'hostname': 'test-09', 'sn': 'fuwuqisn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi7', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:37:02,879] [views.py:19] [views:post] [INFO]- {'device_name': '服务器5', 'hostname': 'test-10', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
[2020-07-14 10:37:02,883] [views.py:19] [views:post] [INFO]- {'device_name': '服务器1', 'hostname': 'test-11', 'sn': '服务器1sn', 'status': 'REBOOTING', 'usage': '生产', 'location': '机房1', 'console_ip': 'http://fuwuqi1', 'console_user': 'admin', 'console_password': '111111', 'ipmi_server_ip': 'localhost', 'pxe_server_ip': '192.168.9.99'}
